msgid,groupid,arrival
112794330,21454,2026-06-22 14:29:05.000000
112794330,21492,2026-06-22 14:29:05.000000
112794330,21526,2026-06-22 14:29:05.000000
112794330,21590,2026-06-22 14:29:05.000000
112794330,21616,2026-06-22 14:29:05.000000
112794330,21691,2026-06-22 14:29:05.000000
112794330,45523,2026-06-22 14:29:05.000000
112794330,64894,2026-06-22 14:29:05.000000
112794330,126719,2026-06-22 14:29:05.000000
112794330,126734,2026-06-22 14:29:05.000000
112794330,217446,2026-06-22 14:29:05.000000
112794330,253433,2026-06-22 14:29:05.000000
112794330,253487,2026-06-22 14:29:05.000000
112794330,386072,2026-06-22 14:29:05.000000
112794330,435173,2026-06-22 14:29:05.000000
112794330,507537,2026-06-22 14:29:05.000000
112794330,522830,2026-06-22 14:29:05.000000
113141527,21232,2026-06-22 14:29:23.000000
113141527,21273,2026-06-22 14:29:23.000000
113141527,21353,2026-06-22 14:29:23.000000
113141527,21579,2026-06-22 14:29:23.000000
113141527,21696,2026-06-22 14:29:23.000000
113141527,21698,2026-06-22 14:29:23.000000
113141527,21700,2026-06-22 14:29:23.000000
113141527,126767,2026-06-22 14:29:23.000000
113141527,253439,2026-06-22 14:29:23.000000
113141527,253487,2026-06-22 14:29:23.000000
113141527,395335,2026-06-22 14:29:23.000000
113141527,515428,2026-06-22 14:29:23.000000
113141527,522839,2026-06-22 14:29:23.000000
113195134,21277,2026-06-22 14:29:30.000000
113195134,21350,2026-06-22 14:29:30.000000
113195134,21449,2026-06-22 14:29:30.000000
113195134,21450,2026-06-22 14:29:30.000000
113195134,21454,2026-06-22 14:29:30.000000
113195134,21456,2026-06-22 14:29:30.000000
113195134,21470,2026-06-22 14:29:30.000000
113195134,21486,2026-06-22 14:29:30.000000
113195134,21492,2026-06-22 14:29:30.000000
113195134,21632,2026-06-22 14:29:30.000000
113195134,21662,2026-06-22 14:29:30.000000
113195134,21676,2026-06-22 14:29:30.000000
113195134,21682,2026-06-22 14:29:30.000000
113195134,45523,2026-06-22 14:29:30.000000
113195134,126719,2026-06-22 14:29:30.000000
113195134,126734,2026-06-22 14:29:30.000000
113195134,217446,2026-06-22 14:29:30.000000
113195134,253433,2026-06-22 14:29:30.000000
113195134,253463,2026-06-22 14:29:30.000000
