lat,lng,conn
51.543808,-0.253610,86
51.535238,-0.230858,88
51.532486,-0.229866,89
51.531735,-0.226505,89
51.538008,-0.242389,89
51.537216,-0.235761,87
51.534244,-0.238143,89
51.582381,-0.310694,84
51.581249,-0.301245,80
51.577588,-0.296388,82
51.577694,-0.307057,81
51.585647,-0.302775,83
51.583918,-0.283769,85
51.530300,-0.197149,93
51.543242,-0.201598,92
51.541954,-0.203866,91
51.539897,-0.200955,91
51.538588,-0.196568,93
51.537014,-0.199921,90
51.534783,-0.194285,94
51.533524,-0.199300,93
51.531963,-0.195355,93
51.558157,-0.219983,86
51.558386,-0.225922,83
51.555136,-0.224702,83
51.555410,-0.215144,89
51.554387,-0.218340,88
51.551473,-0.212569,87
51.551472,-0.220695,87
51.549745,-0.215866,87
51.548511,-0.207597,89
51.564754,-0.326224,76
51.567648,-0.318626,80
51.563017,-0.309826,83
51.562119,-0.319486,83
51.566145,-0.309336,79
51.560331,-0.325002,80
51.576505,-0.318854,84
51.570375,-0.313203,78
51.559703,-0.299767,84
51.559639,-0.294756,86
51.574386,-0.307966,79
51.571826,-0.299568,83
51.570143,-0.304060,81
51.568353,-0.295711,84
51.566455,-0.291596,86
51.564582,-0.301093,83
51.563346,-0.286611,88
51.530537,-0.221780,90
51.538269,-0.207760,90
51.536721,-0.218782,90
51.535453,-0.213805,89
51.534595,-0.204778,92
51.535231,-0.223732,89
51.532509,-0.222962,89
51.531497,-0.216200,92
51.594534,-0.269537,83
51.590860,-0.279234,83
51.590418,-0.267961,84
51.587381,-0.276890,87
51.597563,-0.268572,84
51.595530,-0.275842,81
51.594004,-0.283186,84
51.544581,-0.258284,83
51.547577,-0.262058,81
51.540002,-0.261308,85
51.553186,-0.259004,80
51.551164,-0.264689,77
51.550864,-0.258936,78
51.548155,-0.267195,77
51.545138,-0.269058,80
51.558167,-0.330949,80
51.556261,-0.311218,81
51.557669,-0.315206,84
51.555768,-0.323640,80
51.554742,-0.306062,83
51.552673,-0.317569,82
51.550533,-0.310450,83
51.559784,-0.305950,83
51.557589,-0.272895,83
51.556296,-0.289804,90
51.552652,-0.281149,87
51.550650,-0.275552,82
51.551403,-0.270155,76
51.546642,-0.281354,85
51.546958,-0.274489,82
51.567453,-0.254828,81
51.571540,-0.265168,79
51.573328,-0.255903,75
51.567617,-0.263432,82
51.561095,-0.261130,83
51.560914,-0.255478,84
51.557199,-0.255227,86
51.575207,-0.259278,77
51.549347,-0.291709,88
51.548113,-0.304536,82
51.544296,-0.300558,85
51.549535,-0.298814,87
51.554846,-0.301370,84
51.552251,-0.288196,89
51.549553,-0.231813,87
51.547296,-0.241546,87
51.548975,-0.227396,88
51.547611,-0.235702,89
51.550686,-0.237131,88
51.547759,-0.223706,90
51.541809,-0.235433,87
51.546221,-0.231808,88
51.408539,0.045969,71
51.406642,0.032280,80
51.402774,0.032237,79
51.401113,0.038875,78
51.402737,0.053535,68
51.396356,0.054987,71
51.396703,0.042507,75
51.392373,0.052791,74
51.410514,0.037302,72
51.300498,0.020186,54
51.305766,0.019795,49
51.320209,0.015648,56
51.313679,0.032473,64
51.323875,0.034823,65
51.310464,0.023307,54
51.384234,0.038494,75
51.387101,0.049327,73
51.386889,0.061244,71
51.381868,0.053769,67
51.376041,0.043265,72
51.358155,0.033923,64
51.365871,0.046076,69
51.391809,0.031587,79
51.390806,0.038765,78
51.395425,0.015812,82
51.395780,0.025282,82
51.414620,0.002192,75
51.410557,-0.000409,75
51.410841,0.007129,80
51.407899,0.014227,84
51.404147,0.009213,81
51.400603,0.024140,82
51.397266,0.033320,79
51.348277,0.120707,48
51.367219,0.087594,72
